place,type,mass,fell_found,year,longitude
Fisher,L6,17600,Fell,1970-01-01,-96.85
Pampanga,L5,10500,Fell,1970-01-01,120.7
A-87161,H5,106.46,Found,1970-01-01,26
EET 90966,L6,68.8,Found,1950-01-01,156.44056
A-880934,L5,44.83,Found,1950-01-02,26
A-880742,H4,37.14,Found,1950-01-03,26
JaH 785,L6,36.7,Found,1950-01-04,56.32667
Barnaul,H5,23.2,Fell,1950-01-05,84.08333
ALHA78171,L6,22.5,Found,1950-01-06,159.66667
JaH 725,L5,49,Found,1950-01-07,55.75528
JaH 760,H5,49,Found,1950-01-08,55.59361
Dho 1740,L6,30.8,Found,1950-01-09,54.88167
A-881198,H6,11.66,Found,1950-01-10,26
Dho 1742,H5,4.4,Found,1950-01-11,54.82722
Valencia,H5,33500,Found,1950-01-12,-0.03333
DaG 399,L5,11455,Found,1950-01-13,15.94283
Lancon,H6,7000,Fell,1950-01-14,5.11667
Coonana,H4,6800,Found,1970-01-01,140.7
SaU 473,L4,3017,Found,1970-01-01,56.50583
MAC 87304,L6,1433,Found,1970-01-01,160.5
DaG 630,H4,159,Found,1970-01-01,16.05067
Acfer 110,L6,107,Found,1970-01-01,3.8
Y-793582,H4,99.49,Found,1970-01-01,35.66667
Y-790965,L4,78.75,Found,1970-01-01,35.66667
A-881180,H5,73.33,Found,1960-01-01,26
Kabakly,H4,71.6,Found,1970-01-01,62.51667
Y-86274,H4,68.48,Found,1970-01-01,35.66667
EET 96129,L6,66.7,Found,1970-01-01,157.16667
NWA 2036,EL6,390,Found,1965-01-02,-5.76667
Cordes,H4,54.5,Found,1970-01-01,-112.16617
A-881081,H4,53.49,Found,1970-01-01,26
A-881100,L6,52.01,Found,1970-01-01,26
A-880704,H5,51.64,Found,1970-01-01,26
Dho 645,H3,48,Found,1970-01-01,54.14542
A-87289,H3,46.79,Found,1970-01-01,26
A-880738,L6,40.75,Found,1970-01-01,26
A-881618,H5,40.49,Found,1970-01-01,26
A-881761,H6,32.7,Found,1970-01-01,26
JaH 741,L4,31.6,Found,1965-01-10,56.49028
A-87144,H4,29.46,Found,1970-01-01,26
A-881954,L6,28.54,Found,1970-01-01,26
A-881864,L6,27.58,Found,1970-01-01,26
A-881281,L6,27.2,Found,1970-01-01,26
A-881968,H5,26.04,Found,1970-01-01,26
A-880798,H4,25.59,Found,1970-01-01,26
EET 90202,L6,23.8,Found,1970-01-01,156.50404
A-87079,H5,22.95,Found,1970-01-01,26
A-880943,H6,21,Found,1970-01-01,26
Dho 1751,H5,20.9,Found,1965-01-10,54.5875
A-881291,H5,20.68,Found,1970-01-01,26
A-880888,H4,20.47,Found,1965-01-10,26
Dho 1746,H5,19.2,Found,1965-01-10,54.5125
JaH 748,L5,18.8,Found,1965-01-10,56.43833
A-87218,H6,18.12,Found,1970-01-01,26
CdDL 008,L6,18.02,Found,1970-01-01,-117.48333
A-881766,H4,17.96,Found,1970-01-01,26
JaH 775,L4,17.9,Found,1965-01-10,56.50917
Y-793487,L4,17.59,Found,1970-01-01,35.66667
A-880121,Stone-uncl,16.67,Found,1970-01-01,26
A-882047,H5,15.82,Found,1970-01-01,26
A-881446,H4,15.7,Found,1970-01-01,26
A-881750,H6,15.2,Found,1970-01-01,26
DaG 659,H5,15,Found,1970-01-01,16.2
QUE 94727,H5,14.8,Found,1970-01-01,168
QUE 94728,H6,14.8,Found,1970-01-01,168
QUE 97929,LL5,14.8,Found,1970-01-01,168
GRA 98027,H6,14.8,Found,1970-01-01,-141.5
A-880974,H5,14.73,Found,1970-01-01,26
A-881707,H4,13.07,Found,1970-01-01,26
Dho 1745,H5,12.1,Found,1965-01-10,54.50556
Dho 255,H6,11.3,Found,1965-01-11,54.38517
Y-794068,H4,9.36,Found,1965-01-12,35.66667
Y-86101,H4,8.36,Found,1965-01-13,35.66667
ALH 94005,H5,8.2,Found,1965-01-14,159.66667
Y-792755,H5,8.14,Found,1965-01-15,35.66667
Dho 1003,H5,7.61,Found,1970-01-01,54.2624
Y-792757,H6,6.28,Found,1970-01-01,35.66667
Y-8445,H4,4.99,Found,1970-01-01,35.66667
ALHA77091,H5,4.2,Found,1970-01-01,159.66667
Y-793298,H4,4.04,Found,1970-01-01,35.66667
Y-792883,H5,3.83,Found,1970-01-01,35.66667
Y-790439,H4,3.12,Found,1970-01-01,35.66667
Y-86427,H4,2.71,Found,1970-01-01,35.66667
Y-793310,H3,1.71,Found,1970-01-01,35.66667
Y-86704,CM2,1.49,Found,1970-01-01,35.66667
Y-792986,E3,0.97,Found,1970-01-01,35.66667
A-880550,Stone-uncl,0.9,Found,1970-01-01,26
Y-74169,H3,0.78,Found,1970-01-01,35.66667
Y-74535,H6,0.75,Found,1970-01-01,35.66667
Y-74324,H5,0.54,Found,1970-01-01,35.66667
Y-792956,H6,0.29,Found,1970-01-01,35.66667